238/206, 206/238 se, 207/206, 207/206 se, rho
 73.2064, 1.12543, 0.753, 0.0075, -0.068224
 260.417, 4.06901, 0.435, 0.01, 0.18853
 169.205, 2.43357, 0.577, 0.01, 0.45644
 79.1766, 0.908995, 0.751, 0.01, 0.19585
 212.766, 2.94251, 0.473, 0.0085, 0.37494
 154.56, 1.79165, 0.615, 0.0105, 0.22567
 217.391, 2.83554, 0.474, 0.0095, 0.27879
 209.644, 4.83455, 0.484, 0.011, 0.10969
 144.092, 2.49151, 0.647, 0.0105, 0.10222
 174.216, 1.97283, 0.584, 0.009, 0.21416
 224.215, 3.26771, 0.477, 0.012, 0.26464
 236.407, 3.35329, 0.461, 0.0115, 0.14718
 161.551, 2.87086, 0.628, 0.011, -0.041164
 265.252, 5.62869, 0.385, 0.0115, -0.043072
 152.439, 2.32377, 0.608, 0.0095, 0.019543
 151.745, 2.30266, 0.626, 0.0105, 0.0030752
 101.112, 1.17572, 0.727, 0.0085, 0.038467
 265.182, 3.41058, 0.427, 0.0095, 0.070384
 286.78, 3.16634, 0.391, 0.0085, 0.24059
 287.604, 3.5568, 0.365, 0.008, -0.041298
 264.69, 2.83747, 0.419, 0.008, 0.15939
 274.574, 2.67638, 0.378, 0.008, 0.17686
 212.314, 4.28235, 0.501, 0.013, 0.34121
 161.29, 1.69095, 0.591, 0.009, 0.14398
 140.647, 1.58253, 0.633, 0.0105, 0.18753
 183.15, 2.18036, 0.557, 0.0105, 0.49436
 218.818, 2.39407, 0.53, 0.012, 0.21725
 312.5, 5.3711, 0.334, 0.01, -0.080507
 227.79, 2.20526, 0.49, 0.0105, 0.073412
 212.766, 2.71616, 0.507, 0.011, 0.25544
 139.276, 2.03676, 0.652, 0.01, 0.44912
 179.533, 2.25625, 0.556, 0.0105, 0.24303
 224.215, 2.51362, 0.48, 0.0085, 0.11165
 219.78, 3.62275, 0.519, 0.0115, 0.31258
 165.017, 2.8592, 0.59, 0.0115, 0.03575
 145.773, 2.33746, 0.61, 0.0105, 0.098985
 239.808, 4.02556, 0.442, 0.0095, -0.10478
 187.266, 2.80548, 0.538, 0.0125, 0.11864
 255.232, 2.63831, 0.443, 0.0085, 0.025538
 141.443, 4.10124, 0.616, 0.011, -0.15512
 115.34, 0.997753, 0.707, 0.01, 0.15087
 117.509, 1.17371, 0.68, 0.008, 0.33891
 73.6377, 0.623589, 0.757, 0.0065, 0.57883
 160.256, 2.31139, 0.605, 0.012, 0.16382
 149.701, 1.56872, 0.619, 0.009, 0.24589
 245.278, 2.58694, 0.452, 0.008, 0.33748
 251.256, 4.10343, 0.435, 0.014, 0.3589
 130.208, 2.11928, 0.666, 0.011, 0.18376
 276.243, 4.19706, 0.419, 0.01, 0.16668
 298.508, 4.90087, 0.359, 0.0105, -0.090909
 381.679, 6.40989, 0.241, 0.013, 0.0073965

